prefecture,prefecture_code,fiscal_year,fund_total_million_yen,fiscal_adjustment_fund_million_yen,debt_reduction_fund_million_yen,other_specific_funds_million_yen,cash_deposit_million_yen,trust_million_yen,securities_million_yen,local_bonds_million_yen,equity_contributions_million_yen,source_other_million_yen,other_assets_million_yen,standard_financial_scale_million_yen,revenue_total_million_yen,expenditure_total_million_yen,securities_ratio_pct,cash_deposit_ratio_pct,local_bond_ratio_pct,local_bond_share_of_securities_pct,fund_to_standard_scale_pct,securities_to_standard_scale_pct,securities_ratio_yoy_change_pt
和歌山県,300004,2022,71325.299,4634.043,17789.975,48901.281,71325.299,0.0,0.0,0.0,0.0,0.0,0.0,305574.736,662895.167,637231.552,0.0,100.0,0.0,,23.341359934939128,0.0,
鳥取県,310000,2022,62502.585,4003.418,10104.56,48394.607,55852.374,0.0,6650.211,6650.211,0.0,0.0,0.0,218535.827,405728.488,383422.974,10.639897533838,89.360102466162,10.639897533838,100.0,28.600612475317376,3.043075861423857,
島根県,320005,2022,45182.681,17804.992,6836.577,20541.112,20281.193,0.0,24892.162,4760.42,0.0,9.326,9.326,277976.278,599893.659,563955.467,55.09226422398441,44.887095123903784,10.535939644661637,19.124172500564633,16.25414993145566,8.954779227600133,
岡山県,330001,2022,109437.47,36687.703,17556.649,55193.118,97434.261,0.0,12003.209,7591.182,0.0,0.0,0.0,428688.956,802008.865,788998.145,10.968098038085127,89.03190196191487,6.936547418356802,63.242937784387486,25.52840899404929,2.7999809260306674,
広島県,340006,2022,165516.03,25593.037,19437.304,120485.689,164518.644,0.0,0.0,0.0,0.0,997.386,997.386,579288.543,1221698.617,1193714.538,0.0,99.39740821478136,0.0,,28.572294757087924,0.0,
山口県,350001,2022,69956.104,27631.695,1.187,42323.222,69933.435,0.0,0.0,0.0,0.0,22.669,22.669,376358.415,776771.731,747765.426,0.0,99.96759539382009,0.0,,18.58762849769149,0.0,
徳島県,360007,2022,87845.803,19672.401,25817.163,42356.239,87090.455,0.0,706.514,0.0,0.0,48.834,48.834,258554.954,563618.625,535631.5,0.8042660842886256,99.14014332591393,0.0,0.0,33.97567969244945,0.2732548686729089,
香川県,370002,2022,76237.949,17082.148,29694.002,29461.799,76237.949,0.0,0.0,0.0,0.0,0.0,0.0,268414.402,515593.484,501282.88,0.0,100.0,0.0,,28.403076896000535,0.0,
愛媛県,380008,2022,115771.393,30305.935,18788.119,66677.339,114231.078,0.0,1540.315,0.0,0.0,0.0,0.0,362869.208,734178.021,707431.134,1.33047980168987,98.66952019831012,0.0,0.0,31.904441172644223,0.42448214564405806,
高知県,390003,2022,54360.747,20233.04,18588.629,15539.078,51767.602,0.0,2359.707,1089.058,0.0,233.438,233.438,271082.248,496689.021,483483.446,4.340828870508346,95.22974730277345,2.003390424344242,46.15225534356596,20.05323011782018,0.8704764024238133,
