prefecture,prefecture_code,R4_fund_total_million_yen,R4_cash_deposit_million_yen,R4_securities_million_yen,R4_securities_ratio_pct,R4_cash_deposit_ratio_pct,R4_local_bond_ratio_pct,R4_standard_financial_scale_million_yen,R4_securities_to_standard_scale_pct,R5_fund_total_million_yen,R5_cash_deposit_million_yen,R5_securities_million_yen,R5_securities_ratio_pct,R5_cash_deposit_ratio_pct,R5_local_bond_ratio_pct,R5_standard_financial_scale_million_yen,R5_securities_to_standard_scale_pct,R6_fund_total_million_yen,R6_cash_deposit_million_yen,R6_securities_million_yen,R6_securities_ratio_pct,R6_cash_deposit_ratio_pct,R6_local_bond_ratio_pct,R6_standard_financial_scale_million_yen,R6_securities_to_standard_scale_pct,R4_R6_securities_ratio_change_pt,R4_R6_securities_change_million_yen,R4_R6_securities_growth_pct,R4_R6_cash_deposit_decline_million_yen,typology
埼玉県,110001,261198.036,93361.901,167836.135,64.25627756251583,35.74372243748417,63.21398297190872,1269110.35,13.22470776477396,284886.735,107708.09,177178.645,62.19266228734729,37.80733771265272,61.137112614246504,1295347.443,13.67807887817786,299195.853,111034.465,188161.388,62.889036099039785,37.110963900960215,61.80562201843085,1324399.67,14.207296502875149,-1.3672414634760486,20325.252999999997,12.1101769890018,-17672.564,C: 高比率だが増加は小さい/低下
千葉県,120006,387627.269,387527.269,100.0,0.025797978624666887,99.97420202137533,0.0,1118595.845,0.008939779317703437,404860.445,404760.445,100.0,0.024699869111688595,99.97530013088831,0.0,1147566.348,0.00871409310444506,434114.127,434014.127,100.0,0.02303541713582613,99.97696458286417,0.0,1179533.775,0.008477925950022076,-0.0027625614888407563,0.0,0.0,-46486.85800000001,D: 現預金中心・シフト小
東京都,130001,2361531.791,2154797.482,101115.157,4.281761413729789,91.24575371850243,0.0,4028123.502,2.5102298117174264,2593793.379,2383898.277,104115.157,4.01401121010418,91.90779405563435,0.0,4232272.381,2.460029686827475,2528117.913,2176492.768,245686.957,9.718176345202771,86.0914262269222,0.0,4461185.035,5.5072128834037475,5.436414931472982,144571.8,142.97737776345437,-21695.286000000313,A: 有価証券比率が高く、さらに増加
神奈川県,140007,341147.406,323995.919,16926.065,4.961510684914895,94.97241172046314,4.961510684914895,1376993.363,1.2292045448297488,376589.483,359370.19,17002.196,4.514782479998253,95.4275693354931,4.514782479998253,1414177.145,1.2022677682292764,399360.685,381752.702,17395.809,4.3559142533021245,95.59095733221712,4.3559142533021245,1449789.663,1.1998850208383645,-0.6055964316127707,469.7440000000024,2.775269975626364,-57756.782999999996,C: 高比率だが増加は小さい/低下
新潟県,150002,112436.693,112336.978,21.402,0.019034711381986306,99.91131453857328,0.0,548180.873,0.0039041858361227428,132596.931,129056.396,3461.402,2.6104691668919546,97.32985147295753,0.0,552223.066,0.6268122816876324,135045.321,132005.087,2961.403,2.1928956724091164,97.74873059096953,0.3110067027053829,559489.8,0.5293041982177332,2.1738609610271302,2940.0009999999997,13737.038594523876,-19668.108999999997,B: 低位から相対的にシフト
富山県,160008,60666.53,52239.114,8307.497,13.693707222087697,86.10862365129505,1.0384638778581863,307388.299,2.7026067768441635,61415.984,46833.613,14484.314,23.583948439220645,76.25639117009018,0.9118147484211927,309874.046,4.674258521154108,63471.192,57982.578,5365.132,8.452861575374225,91.35259032160606,0.8822900316729517,314589.744,1.705437669957861,-5.240845646713472,-2942.365,-35.41818913687239,-5743.464,C: 高比率だが増加は小さい/低下
石川県,170003,135186.519,134519.218,10.029,0.007418639132205187,99.50638495248182,0.0,312075.84,0.0032136419147345717,143259.534,142592.217,10.029,0.007000581196920547,99.53419016426508,0.0,316093.206,0.0031727983422712345,267675.274,267005.94,10.029,0.0037467039260413726,99.74994552541303,0.0,320385.935,0.0031302872268721784,-0.0036719352061638146,0.0,0.0,-132486.722,D: 現預金中心・シフト小
福井県,180009,36560.919,35660.919,900.0,2.461644905588943,97.53835509441106,0.0,262208.954,0.3432377065201213,47234.047,46334.047,900.0,1.9054052260226613,98.09459477397733,0.0,264055.575,0.340837340775706,43509.865,42609.865,900.0,2.0684964202945704,97.93150357970542,0.0,270199.824,0.3330868194792014,-0.39314848529437274,0.0,0.0,-6948.945999999996,D: 現預金中心・シフト小
山梨県,190004,92715.389,83412.426,9302.963,10.033893078958014,89.966106921042,0.8628556797620727,268591.078,3.4636157944159267,96308.546,87006.03,9302.516,9.659076360679352,90.34092363932065,0.8306635633352828,270856.606,3.434480014122306,100686.08,67384.011,33302.069,33.075147031248015,66.92485296875198,1.787734709703665,274969.974,12.1111656358523,23.04125395229,23999.106000000003,257.9727125648033,16028.415000000008,A: 有価証券比率が高く、さらに増加
長野県,200000,125079.606,118939.866,6088.71,4.867867908058489,95.09133407407758,3.2764014303019144,516202.363,1.1795199782919243,143933.451,137652.021,6238.774,4.334485108677065,95.63587897298454,3.0074746140839768,523193.843,1.1924402558384082,146559.31,140086.015,6419.927,4.38042932925926,95.58315674384657,2.8110987967942807,534358.773,1.2014263308445765,-0.487438578799229,331.21699999999964,5.439855076034162,-21146.14900000002,C: 高比率だが増加は小さい/低下
