決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:歳入総額,002:歳出総額,003:歳入歳出差引,004:翌年度に繰り越すべき財源,005:実質収支,006:単年度収支,007:積立金,008:繰上償還金,009:積立金取崩し額,010:実質単年度収支
2022,62,80004,茨城県,茨城県,,2,決算収支の状況,2,令和3年度,1385173203,1350471341,34701862,13678812,21023050,-3483299,10474944,4000000,0,10991645
2022,62,90000,栃木県,栃木県,,2,決算収支の状況,2,令和3年度,1055481074,1029188725,26292349,14858766,11433583,-4129024,16601143,0,5050391,7421728
2022,62,100005,群馬県,群馬県,,2,決算収支の状況,2,令和3年度,1024580165,991715038,32865127,10150912,22714215,6234691,32198764,0,0,38433455
2022,62,110001,埼玉県,埼玉県,,2,決算収支の状況,2,令和3年度,2547697476,2499335860,48361616,13524965,34836651,7505582,62048858,18000000,0,87554440
2022,62,120006,千葉県,千葉県,,2,決算収支の状況,2,令和3年度,2568713304,2517800556,50912748,12723527,38189221,-17694397,37201056,48414446,0,67921105
2022,62,130001,東京都,東京都,,2,決算収支の状況,2,令和3年度,10138989836,9589464478,549525358,282613799,266911559,18592527,194527962,0,0,213120489
2022,62,140007,神奈川県,神奈川県,,2,決算収支の状況,2,令和3年度,3010396503,2975523260,34873243,26564957,8308286,-63724102,94712510,0,13804980,17183428
2022,62,150002,新潟県,新潟県,,2,決算収支の状況,2,令和3年度,1250262741,1227383527,22879214,8893032,13986182,-216868,27007378,0,7665018,19125492
2022,62,160008,富山県,富山県,,2,決算収支の状況,2,令和3年度,645177994,619117599,26060395,24871912,1188483,-189447,166288,2073771,0,2050612
2022,62,170003,石川県,石川県,,2,決算収支の状況,2,令和3年度,673571503,656268198,17303305,15480842,1822463,1024737,1400137,3000000,0,5424874
2022,62,180009,福井県,福井県,,2,決算収支の状況,2,令和3年度,572715243,557756122,14959121,7971404,6987717,-1089912,323,0,0,-1089589
2022,62,190004,山梨県,山梨県,,2,決算収支の状況,2,令和3年度,600046187,571833529,28212658,24866187,3346471,-8742602,9002222,0,0,259620
2022,62,200000,長野県,長野県,,2,決算収支の状況,2,令和3年度,1196501108,1173027501,23473607,18701239,4772368,-109910,8000329,0,0,7890419
2022,62,210005,岐阜県,岐阜県,,2,決算収支の状況,2,令和3年度,1008873098,990811236,18061862,8730160,9331702,-12028976,14003767,2000000,0,3974791
2022,62,220001,静岡県,静岡県,,2,決算収支の状況,2,令和3年度,1421362571,1398301090,23061481,16301612,6759869,-7736138,2739,0,0,-7733399
2022,62,230006,愛知県,愛知県,,2,決算収支の状況,2,令和3年度,3171137658,3087823420,83314238,7211217,76103021,21731942,50017049,0,0,71748991
2022,62,240001,三重県,三重県,,2,決算収支の状況,2,令和3年度,893808821,853901582,39907239,19808271,20098968,2211843,22005782,0,227587,23990038
2022,62,250007,滋賀県,滋賀県,,2,決算収支の状況,2,令和3年度,738556362,731068140,7488222,6431589,1056633,207956,9810597,10901,0,10029454
2022,62,260002,京都府,京都府,,2,決算収支の状況,2,令和3年度,1313044211,1298673359,14370852,3956531,10414321,-5063974,7739148,0,7739147,-5063973
2022,62,270008,大阪府,大阪府,,2,決算収支の状況,2,令和3年度,4686946544,4634812299,52134245,20844960,31289285,-3688210,180748457,0,0,177060247
2022,62,280003,兵庫県,兵庫県,,2,決算収支の状況,2,令和3年度,3214215594,3178512171,35703423,13845147,21858276,18852888,13603,32300000,0,51166491
2022,62,290009,奈良県,奈良県,,2,決算収支の状況,2,令和3年度,628129201,621925565,6203636,4854043,1349593,43899,670645,11154637,1000000,10869181
2022,62,300004,和歌山県,和歌山県,,2,決算収支の状況,2,令和3年度,673364509,643554071,29810438,18420196,11390242,-2466051,98,13218901,0,10752948
2022,62,310000,鳥取県,鳥取県,,2,決算収支の状況,2,令和3年度,404094947,390934664,13160283,5036827,8123456,-1992830,86,0,0,-1992744
2022,62,320005,島根県,島根県,,2,決算収支の状況,2,令和3年度,588612052,555639195,32972857,18477931,14494926,728679,585570,4351409,1431407,4234251
2022,62,330001,岡山県,岡山県,,2,決算収支の状況,2,令和3年度,876365830,857867880,18497950,6810719,11687231,-5101906,34738517,0,7139328,22497283
2022,62,340006,広島県,広島県,,2,決算収支の状況,2,令和3年度,1289860426,1254532099,35328327,21457833,13870494,-7704430,10800083,0,0,3095653
2022,62,350001,山口県,山口県,,2,決算収支の状況,2,令和3年度,773936649,735504502,38432147,10997140,27435007,10013718,18106216,2298441,12087127,18331248
2022,62,360007,徳島県,徳島県,,2,決算収支の状況,2,令和3年度,586600803,554490684,32110119,16300657,15809462,2604906,6701050,0,5000000,4305956
2022,62,370002,香川県,香川県,,2,決算収支の状況,2,令和3年度,519685364,505519507,14165857,7231649,6934208,-2847231,4822541,0,29626,1945684
2022,62,380008,愛媛県,愛媛県,,2,決算収支の状況,2,令和3年度,761665355,742593857,19071498,16493375,2578123,68727,3361923,0,0,3430650
2022,62,390003,高知県,高知県,,2,決算収支の状況,2,令和3年度,543649879,530078883,13570996,11576740,1994256,-3212717,9822033,0,0,6609316
2022,62,400009,福岡県,福岡県,,2,決算収支の状況,2,令和3年度,2528209913,2461286215,66923698,45649230,21274468,-12821414,10237073,0,0,-2584341
2022,62,410004,佐賀県,佐賀県,,2,決算収支の状況,2,令和3年度,609125424,599885119,9240305,7841393,1398912,-7964246,4634397,2365,3624045,-6951529
2022,62,420000,長崎県,長崎県,,2,決算収支の状況,2,令和3年度,835006163,809752946,25253217,24495034,758183,-217436,12489371,0,0,12271935
2022,62,430005,熊本県,熊本県,,2,決算収支の状況,2,令和3年度,1046902706,1002835476,44067230,23467188,20600042,-3385144,8190,0,0,-3376954
2022,62,440001,大分県,大分県,,2,決算収支の状況,2,令和3年度,763247147,731378299,31868848,26822394,5046454,638111,1464249,0,0,2102360
2022,62,450006,宮崎県,宮崎県,,2,決算収支の状況,2,令和3年度,714385081,697283029,17102052,11805848,5296204,-5224215,9822796,0,0,4598581
2022,62,460001,鹿児島県,鹿児島県,,2,決算収支の状況,2,令和3年度,990386003,938638816,51747187,35987650,15759537,-3110573,9416529,4912,9363646,-3052778
2022,62,470007,沖縄県,沖縄県,,2,決算収支の状況,2,令和3年度,1049008601,1035150133,13858468,9578066,4280402,-1158441,34528205,0,9089542,24280222
2022,62,合計(全国),,,,2,決算収支の状況,2,令和3年度,68324335245,66324162173,2000173072,1081187538,918985534,-109533259,1063920180,145937010,156414607,943909324
