決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:令和4年度末現在高,002:令和5年度・歳出決算額,003:令和5年度・取崩し額,004:令和5年度・歳計剰余金処分によるもの,005:調整額,006:令和5年度末現在高,007:6列の管理状況・現金・預金,008:6列の管理状況・信託,009:6列の管理状況・有価証券,010:6列の管理状況・有価証券・うち地方債,011:6列の管理状況・出資金,012:6列の管理状況・その他
2023,62,380008,愛媛県,愛媛県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,30305935,2916707,5851055,0,0,27371587,27327484,0,44103,0,0,0
2023,62,390003,高知県,高知県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,20233040,6227,0,1836631,0,22075898,22075898,0,0,0,0,0
2023,62,400009,福岡県,福岡県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,45627172,13696,13374161,15098300,0,47365007,47365007,0,0,0,0,0
2023,62,410004,佐賀県,佐賀県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,18003861,5493451,5700000,0,0,17797312,17797312,0,0,0,0,0
2023,62,420000,長崎県,長崎県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,16558507,653000,4000000,0,0,13211507,13211507,0,0,0,0,0
2023,62,430005,熊本県,熊本県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,1785878,7241,0,0,0,1793119,794024,0,999095,537716,0,0
2023,62,440001,大分県,大分県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,10873689,3937084,0,0,0,14810773,7067735,0,7743038,0,0,0
2023,62,450006,宮崎県,宮崎県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,18546012,3000392,1000000,0,0,20546404,20546404,0,0,0,0,0
2023,62,460001,鹿児島県,鹿児島県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,17561986,11052336,11042273,0,0,17572049,15688057,0,1883992,1883992,0,0
2023,62,470007,沖縄県,沖縄県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,42399243,3220932,3658458,0,0,41961717,41961717,0,0,0,0,0
2023,62,合計(全国),,,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,2438502260,402345822,406195853,45103930,579,2479756738,2237455626,0,112501722,83380222,0,129799390
決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:令和4年度末現在高,002:令和5年度・歳出決算額,003:令和5年度・取崩し額,004:令和5年度・歳計剰余金処分によるもの,005:調整額,006:令和5年度末現在高,007:6列の管理状況・現金・預金,008:6列の管理状況・信託,009:6列の管理状況・有価証券,010:6列の管理状況・有価証券・うち地方債,011:6列の管理状況・出資金,012:6列の管理状況・その他
2023,62,10006,北海道,北海道,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,55851418,23644924,22000000,0,0,57496342,57496342,0,0,0,0,0
2023,62,20001,青森県,青森県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,18747448,2359864,0,0,0,21107312,21107312,0,0,0,0,0
2023,62,30007,岩手県,岩手県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,29797012,3500000,0,0,29950,33326962,0,0,8100000,3300000,0,25226962
2023,62,40002,宮城県,宮城県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,19749268,120364,119870,0,0,19749762,19749762,0,0,0,0,0
2023,62,50008,秋田県,秋田県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,24193653,6515512,0,0,1,30709166,30709166,0,0,0,0,0
